2013-08-02 22:58:00 +0000 UTC	Where Would We Be Now	Good Charlotte	https://www.last.fm/music/Good+Charlotte/_/Where+Would+We+Be+Now
2013-08-02 22:58:00 +0000 UTC	Only In My Dreams - Featuring Tico Torres On Vocals (Unreleased)	Bon Jovi	https://www.last.fm/music/Bon+Jovi/_/Only+In+My+Dreams+-+Featuring+Tico+Torres+On+Vocals+(Unreleased)
2013-08-02 22:58:00 +0000 UTC	Bed Of Roses	Bon Jovi	https://www.last.fm/music/Bon+Jovi/_/Bed+Of+Roses
2013-08-11 15:46:00 +0000 UTC	Brutal Love	Green Day	https://www.last.fm/music/Green+Day/_/Brutal+Love
2013-08-18 13:34:00 +0000 UTC	Up All Night	blink-182	https://www.last.fm/music/blink-182/_/Up+All+Night
2013-08-27 14:21:00 +0000 UTC	This Means War	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/This+Means+War
2013-08-27 14:29:00 +0000 UTC	Doing Time	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Doing+Time
2013-08-27 14:29:00 +0000 UTC	Crimson Day	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Crimson+Day
2013-08-27 14:29:00 +0000 UTC	Requiem	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Requiem
2013-08-27 14:42:00 +0000 UTC	Coming Home	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Coming+Home
2013-08-27 14:42:00 +0000 UTC	Heretic	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Heretic
2013-08-27 14:54:00 +0000 UTC	Planets	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Planets
2013-08-27 14:54:00 +0000 UTC	Acid Rain	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Acid+Rain
2013-09-22 13:52:00 +0000 UTC	She Don't Know Me	Bon Jovi	https://www.last.fm/music/Bon+Jovi/_/She+Don%27t+Know+Me
2013-09-22 13:53:00 +0000 UTC	Miracle	Jon Bon Jovi	https://www.last.fm/music/Jon+Bon+Jovi/_/Miracle
2013-09-22 13:53:00 +0000 UTC	More Than We Bargained For	Jon Bon Jovi	https://www.last.fm/music/Jon+Bon+Jovi/_/More+Than+We+Bargained+For
2013-09-22 13:53:00 +0000 UTC	¿Viva la Gloria? (Little Girl)	Green Day	https://www.last.fm/music/Green+Day/_/%C2%BFViva+la+Gloria%3F+(Little+Girl)
2013-09-22 13:53:00 +0000 UTC	Without Love	Bon Jovi	https://www.last.fm/music/Bon+Jovi/_/Without+Love
2013-09-22 13:53:00 +0000 UTC	21st Century Breakdown	Green Day	https://www.last.fm/music/Green+Day/_/21st+Century+Breakdown
2013-09-22 13:53:00 +0000 UTC	Everchanging (acoustic)	Rise Against	https://www.last.fm/music/Rise+Against/_/Everchanging+(acoustic)
2013-09-22 13:53:00 +0000 UTC	Know Your Enemy	Green Day	https://www.last.fm/music/Green+Day/_/Know+Your+Enemy
2013-09-22 13:53:00 +0000 UTC	I Don't Like Mondays	Bon Jovi	https://www.last.fm/music/Bon+Jovi/_/I+Don%27t+Like+Mondays
2013-09-22 13:53:00 +0000 UTC	Blind	Rise Against	https://www.last.fm/music/Rise+Against/_/Blind
2013-09-22 13:53:00 +0000 UTC	¡Viva la Gloria!	Green Day	https://www.last.fm/music/Green+Day/_/%C2%A1Viva+la+Gloria!
2013-09-22 13:53:00 +0000 UTC	The Static Age	Green Day	https://www.last.fm/music/Green+Day/_/The+Static+Age
2013-09-22 13:53:00 +0000 UTC	Before the Lobotomy	Green Day	https://www.last.fm/music/Green+Day/_/Before+the+Lobotomy
2013-12-15 23:18:00 +0000 UTC	The Diary of Jane	Breaking Benjamin	https://www.last.fm/music/Breaking+Benjamin/_/The+Diary+of+Jane
2013-12-15 23:18:00 +0000 UTC	Evil Angel	Breaking Benjamin	https://www.last.fm/music/Breaking+Benjamin/_/Evil+Angel
2013-12-15 23:20:00 +0000 UTC	Dear Agony	Breaking Benjamin	https://www.last.fm/music/Breaking+Benjamin/_/Dear+Agony
2014-02-17 17:33:00 +0000 UTC	Notion	Kings of Leon	https://www.last.fm/music/Kings+of+Leon/_/Notion
2014-02-17 17:33:00 +0000 UTC	17	Kings of Leon	https://www.last.fm/music/Kings+of+Leon/_/17
2014-04-23 11:20:00 +0000 UTC	Cloud Number Nine	Bryan Adams	https://www.last.fm/music/Bryan+Adams/_/Cloud+Number+Nine
2014-04-23 11:21:00 +0000 UTC	Let's Make a Night to Remember	Bryan Adams	https://www.last.fm/music/Bryan+Adams/_/Let%27s+Make+a+Night+to+Remember
2014-04-23 11:21:00 +0000 UTC	I Was Only Dreamin'	Bryan Adams	https://www.last.fm/music/Bryan+Adams/_/I+Was+Only+Dreamin%27
2014-04-23 11:21:00 +0000 UTC	Have You Ever Loved a Woman?	Bryan Adams	https://www.last.fm/music/Bryan+Adams/_/Have+You+Ever+Loved+a+Woman%3F
2014-04-23 11:21:00 +0000 UTC	Star	Bryan Adams	https://www.last.fm/music/Bryan+Adams/_/Star
2014-04-28 11:54:00 +0000 UTC	East Side Story	Bryan Adams	https://www.last.fm/music/Bryan+Adams/_/East+Side+Story
2014-06-16 08:54:00 +0000 UTC	Who Says You Can't Go Home	Bon Jovi	https://www.last.fm/music/Bon+Jovi/_/Who+Says+You+Can%27t+Go+Home
2014-07-01 13:43:00 +0000 UTC	Seize the Day	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Seize+the+Day
2014-07-01 13:43:00 +0000 UTC	M.I.A.	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/M.I.A.
2014-07-01 13:44:00 +0000 UTC	Lost It All	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Lost+It+All
2014-07-01 13:44:00 +0000 UTC	Save Me	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Save+Me
2014-07-01 13:44:00 +0000 UTC	Danger Line	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Danger+Line
2014-07-01 13:44:00 +0000 UTC	So Far Away	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/So+Far+Away
2014-07-01 13:44:00 +0000 UTC	Welcome To The Family	Avenged Sevenfold	https://www.last.fm/music/Avenged+Sevenfold/_/Welcome+To+The+Family
2014-07-06 15:35:00 +0000 UTC	Desert Rose	Sting	https://www.last.fm/music/Sting/_/Desert+Rose
2014-07-06 15:35:00 +0000 UTC	Whenever I Say Your Name (feat. Mary J. Blige)	Sting	https://www.last.fm/music/Sting/_/Whenever+I+Say+Your+Name+(feat.+Mary+J.+Blige)
2014-07-06 15:35:00 +0000 UTC	Mad About You	Sting	https://www.last.fm/music/Sting/_/Mad+About+You
2014-07-06 15:35:00 +0000 UTC	Shape Of My Heart	Sting	https://www.last.fm/music/Sting/_/Shape+Of+My+Heart
2014-07-06 15:35:00 +0000 UTC	100MPH	Stereophonics	https://www.last.fm/music/Stereophonics/_/100MPH
2014-07-06 15:35:00 +0000 UTC	When The Angels Fall	Sting	https://www.last.fm/music/Sting/_/When+The+Angels+Fall
2014-07-06 15:35:00 +0000 UTC	Stolen Car (Take Me Dancing)	Sting	https://www.last.fm/music/Sting/_/Stolen+Car+(Take+Me+Dancing)
